JD,r_E_m,r_S_m,alpha_rad,v_E_mps,v_S_mps,psi_E_rad,psi_S_rad,kappa2_E,kappa2_S,beta_E,beta_S,delta_E,delta_S
2456575.0,287136066.6974046,149155368779.6439,2.732145917577394,10522.12174570013,34957.08901343075,3.1073767744129954,1.303054490091189,3.0891472819914386e-11,1.979982366148021e-08,3.509802019669264e-05,0.0001166042976752629,0.012538436360243087,0.7281187449191612
2456575.041666667,249247599.93830913,149188704196.72748,2.7282161839751473,10542.146974922152,34963.656646305884,3.1022255679669017,1.302381640754377,3.558732763001695e-11,1.9795399496906288e-08,3.516481717135844e-05,0.00011662620494043878,0.01438959773890716,0.7276825953587235
2456575.083333333,211284307.8631802,149222138307.02362,2.7225628532105,10569.317713291179,34974.85418405253,3.0952481202857522,1.3015530037148653,4.198161278377529e-11,1.9790964219556393e-08,3.525544899895773e-05,0.00011666355590590784,0.016887937881889886,0.7270537834651412
2456575.125,173218823.17335272,149255701343.36697,2.714035578019164,10608.400275566131,34993.85959820855,3.0852480180148194,1.300466541575025,5.120722931550624e-11,1.97865138377928e-08,3.538581439419043e-05,0.00011672695114367605,0.020447625945542426,0.7261009471631612
2456575.166666667,135005181.9880419,149289446325.18634,2.7001582076999853,10669.55222210581,35027.579366969185,3.069679871264053,1.2989080857415183,6.570159655638748e-11,1.978204134783346e-08,3.5589795331361575e-05,0.00011683942818524535,0.025935519197389175,0.7245398283920241
2456575.208333333,96557596.46608077,149323479668.13608,2.6744290764217196,10779.115476215957,35094.55133508034,3.041982172757785,1.2963374828436591,9.186284999457206e-11,1.977753268651018e-08,3.595525900860373e-05,0.00011706282262471172,0.03552917115825866,0.7216126402848119
2456575.25,57689749.85037835,149358071899.65735,2.612407953992379,11034.0832942948,35267.582678388106,2.9782637868807242,1.2908782041843425,1.537544541795552e-10,1.9772952090490765e-08,3.68057401040249e-05,0.00011763999305942548,0.05675009593049331,0.7143837020263473
2456575.291666667,18089393.866399243,149394422127.12988,2.2688808019062874,12328.907028105472,36379.76508697847,2.6589751989671804,1.269534011676625,4.903456724703189e-10,1.9768140991816137e-08,4.1124807176121395e-05,0.00012134983424759294,0.14496548130817322,0.6712085180531806
2456575.333333333,27980953.38316843,149425263265.43805,0.7198703897314853,11680.0187491123,39815.80301004446,0.3222860642823183,1.433193856763924,3.1700335147749696e-10,1.9764060878740875e-08,3.896034885945096e-05,0.0001328112230563334,0.10442108082368909,0.5602432530119266
2456575.375,67418827.0066205,149443721987.5657,0.9109055831013797,10943.34878473763,39209.08823527749,0.140767648148743,1.4440088681381067,1.315664539688441e-10,1.976161969684964e-08,3.650308235818804e-05,0.00013078744040744846,0.04936920085978729,0.577644258056932
2456575.416666667,106154218.30549523,149461348961.8831,0.9609742603186814,10744.436274192736,39035.80785127371,0.09088039097658622,1.446126970881934,8.3558205614339e-11,1.9759289077159094e-08,3.583958164215304e-05,0.00013020943926239035,0.03252619388612733,0.582715247365396
2456575.458333333,144531711.0338744,149478744607.92154,0.9838900313475081,10651.282759483189,38952.18129807841,0.06728889230023656,1.4468418089235329,6.137100250560995e-11,1.975698958234022e-08,3.552885496366686e-05,0.00012993049110687904,0.024309207443456212,0.5851518941857776
2456575.5,182702414.75466815,149496050186.642,0.996838042478466,10597.104145185898,38902.108410567795,0.05348537374770038,1.44707702502592,4.8549199592740275e-11,1.9754702524333874e-08,3.5348134559095204e-05,0.00012976346593271466,0.019427596710077707,0.5865913099835642
2456575.541666667,220738894.53061897,149513321842.2942,1.0050096596662539,10561.629815179458,38868.265286275724,0.04440791462824115,1.447091687772484,4.0183475679994505e-11,1.975242047738777e-08,3.5229804931181615e-05,0.00012965057742138304,0.016188142764764758,0.5875453800786878
2456575.583333333,258681281.809973,149530587679.05786,1.0105193749962191,10536.58773217622,38843.517178327755,0.03797712815835933,1.4469867714847557,3.4289516187398256e-11,1.9750139726185333e-08,3.51462735335931e-05,0.00012956802661902775,0.013879467118671667,0.5882263676922297
2456575.625,296554069.3352964,149547863796.19632,1.014392240007735,10517.963845482818,38824.38163009563,0.03317932493845785,1.446809784872106,2.991041741521727e-11,1.9747858144096838e-08,3.508415093445352e-05,0.00012950419730070606,0.012149839384770296,0.5887383338777825
2456575.666666667,334373301.25177646,149565160279.3596,1.0171861126166288,10503.572254171515,38808.954462677306,0.02946062276269922,1.4465860244929514,2.6527405049367334e-11,1.974557440037429e-08,3.503614575311136e-05,0.0001294527378092924,0.010805182942284226,0.5891383534680035
2456575.708333333,372150059.5297327,149582483864.33972,1.0192308597056314,10492.119840074667,38796.10579280766,0.02649251861202395,1.446330199450301,2.3834622010295102e-11,1.974328760764783e-08,3.499794461165086e-05,0.00012940987925989672,0.009729559857732257,0.5894603700613662
2456575.75,409892320.2192837,149599839271.32593,1.0207341445326168,10482.792253373314,38785.1223939411,0.024067719969232727,1.4460514467517034,2.1639966309333895e-11,1.9740997145349574e-08,3.496683113146667e-05,0.00012937324258484548,0.008849404203680045,0.5897258477024399
2456575.791666667,447606015.6954432,149617229934.3425,1.0218332732495523,10475.05088975086,38775.531656538195,0.022048905171695637,1.4457557420926714,1.9816659492877096e-11,1.9738702563174e-08,3.494100872194343e-05,0.00012934125132840464,0.00811576707498514,0.5899490289640681
2456575.833333333,485295678.3344846,149634658427.7772,1.0226226920665127,10468.525172237605,38767.00790937049,0.02034146915117982,1.4454471585060753,1.8277632371344574e-11,1.9736403524624733e-08,3.491924127136515e-05,0.00012931281916828772,0.007494805118410034,0.5901397393132248
2456575.875,522964849.12343997,149652126729.48444,1.0231695148556599,10462.951704006196,38759.31937590407,0.01887809648481986,1.4451285679279935,1.69610940675409e-11,1.9734099772189548e-08,3.49006501824879e-05,0.00012928717298119646,0.00696236571096352,0.5903049779118563
2456575.916666667,560616347.2327032,149669636390.30286,1.0235227518695598,10458.138095111131,38752.29657764611,0.017609574369824556,1.4448020536111164,1.582197173483094e-11,1.9731791104901368e-08,3.48845937115307e-05,0.0001292637474477297,0.006500747088205711,0.5904498666340501
2456575.958333333,598252453.7337089,149687188647.30914,1.0237190333388384,10453.94052318264,38745.81270108243,0.016499085335190223,1.4444691635029292,1.4826610312488906e-11,1.972947736334608e-08,3.487059211870714e-05,0.0001292421195635363,0.006096677655942868,0.5905782404929014
2456576.0,635875040.3189362,149704784501.83313,1.023786289393209,10450.249303556731,38739.77095436325,0.01551853252300716,1.4441310718253875,1.3949369667900536e-11,1.972715841933454e-08,3.4858279535360195e-05,0.00012922196646575828,0.005740010559233851,0.5906930282697801
2456576.041666667,673485661.6765454,149722424774.62772,1.0237461902357936,10446.979319066771,38734.09617161377,0.01464609991335218,1.443788685452938,1.3170370959226176e-11,1.972483416859853e-08,3.484737204118314e-05,0.0001292030374280255,0.005422854446518174,0.590796505499858
