Name,Rad,Vobs,Vgas,Vdisk,Vbul,R_d,Vb,GasFrac,Omega_gas,V_Newton,V_LCDM_(AM),V_MOND_(Std),V_Verlinde,V_WILL_RG
DDO168,0.82,23.4,18.08,12.66,0.0,1.02,20.174840767649194,0.8031129352996701,0.8031129352996701,20.174651695755554,36.906957395819425,36.50621558565245,38.25043275901733,35.40070622331355
DDO168,1.24,29.2,20.09,15.11,0.0,1.02,22.754431436535608,0.779521139113243,0.779521139113243,22.754314494319296,43.06979319248175,42.68017824848956,44.597621400856454,41.161324725063785
DDO168,1.64,36.2,20.2,15.99,0.0,1.02,23.149083135191336,0.761439057117353,0.761439057117353,23.149003507996092,46.745333088101404,45.72881352997292,47.542022431376246,43.74618529309272
DDO168,2.06,44.0,22.0,16.89,0.0,1.02,25.032699614703965,0.7723781611351597,0.7723781611351597,25.032649930387787,50.57812436392852,50.215188866857204,52.147362803079396,47.93505857981541
DDO168,2.47,52.1,22.63,17.03,0.0,1.02,25.634495313931968,0.7793267165032775,0.7793267165032775,25.634462051856847,53.165645558149045,52.931584884265455,54.820447869656505,50.31584912215446
DDO168,2.89,52.9,22.95,16.99,0.0,1.02,25.904295975764327,0.7849134889209176,0.7849134889209176,25.904272650753725,55.24290696730606,55.099356361615854,56.9094496023709,52.15811215397937
DDO168,3.3,54.8,22.74,17.19,0.0,1.02,25.78479493810257,0.7777742431759435,0.7777742431759435,25.784775929763992,56.788465078992495,56.584872835202276,58.27844734345954,53.337900348907986
DDO168,3.71,55.0,22.74,17.16,0.0,1.02,25.774801648121368,0.7783774703450219,0.7783774703450219,25.774786696266677,58.14646576073632,58.06217701284062,59.66467162034183,54.54506799440894
DDO168,4.12,52.0,22.74,16.37,0.0,1.02,25.51658382307475,0.7942109309371481,0.7942109309371481,25.516573474211874,59.20139897742335,59.10885890286536,60.59970470789749,55.33591271844079
DDO170,1.87,27.7,8.68,18.19,0.0,1.95,15.517101855694575,0.312909125304816,0.312909125304816,15.515857461626874,47.791326703071114,37.53826390952996,37.52619577733131,34.600306333914226
DDO170,3.36,42.4,15.07,19.75,0.0,1.95,20.545952156081743,0.5379896983473222,0.5379896983473222,20.54572136018214,58.52331089796959,50.104499532888276,50.994784935695264,46.555113337842734
DDO170,4.86,52.5,20.59,19.94,0.0,1.95,24.95495742332573,0.6807678331220928,0.6807678331220928,24.954893452191374,65.23047236782577,60.603654134954915,61.85804063080655,56.40351159552133
DDO170,6.35,55.6,24.61,19.17,0.0,1.95,28.096201700585794,0.7672342880140532,0.7672342880140532,28.09617927072617,69.5549518319334,68.70745381404038,70.12936551771008,63.911110523164275
DDO170,7.85,58.6,26.94,18.71,0.0,1.95,30.013257903799783,0.8056917237555488,0.8056917237555488,30.01324697820024,72.32375942447636,74.74635435031779,76.19887970863253,69.39254495858458
DDO170,9.34,59.0,27.6,17.41,0.0,1.95,30.221086181671236,0.8340614052745603,0.8340614052745603,30.221080514058368,73.68997176056918,78.07218984945497,79.38475027467112,72.20185777639584
DDO170,10.83,60.0,26.77,16.05,0.0,1.95,29.07635035557248,0.8476507602632328,0.8476507602632328,29.07634693693788,74.06124326707183,79.12414480342697,80.17794261086618,72.80291867657787
DDO170,12.33,62.2,24.9,15.01,0.0,1.95,27.067693843399365,0.8462451310126708,0.8462451310126708,27.067691342639414,73.822237298129,78.49513317004104,79.23645062944207,71.81695303603826
ESO079-G014,0.41,33.2,2.21,28.95,0.0,5.08,20.589690381353478,0.011520860433082545,0.011520860433082545,20.13354385810249,33.75936007133513,23.9897286284051,18.43857392177963,18.669449590089172
ESO079-G014,0.98,50.4,4.41,47.6,0.0,5.08,33.945958522333704,0.016877224464108786,0.016877224464108786,33.80958691395175,55.51808561665129,46.38524235876605,38.11592804653677,38.77806780859507
ESO079-G014,1.78,53.9,6.75,62.09,0.0,5.08,44.42011425019076,0.0230912904061789,0.0230912904061789,44.36632701836417,75.1575891814289,65.8077547787864,59.095870418572055,59.1745643214642
ESO079-G014,2.69,67.6,8.55,75.48,0.0,5.08,54.05291574004126,0.025020384412908887,0.025020384412908887,54.02432150382356,91.49368799810006,82.25482176671028,78.75463843122559,77.32184048125329
ESO079-G014,3.36,81.7,9.18,82.21,0.0,5.08,58.85163081852532,0.024331470596289848,0.024331470596289848,58.831638504478484,100.51912625951721,91.07500606430352,89.69225754612265,87.01461894360544
